product_id,product_position,promotion,seasonal,sales_volume,name,price,terms,section
185102,AISLE,No,No,2823,BASIC PUFFER JACKET,19.99,JACKETS,MAN
188771,AISLE,No,No,654,TUXEDO JACKET,169,JACKETS,MAN
180176,END-CAP,Yes,Yes,2220,SLIM FIT SUIT JACKET,129,JACKETS,MAN
112917,AISLE,Yes,Yes,1568,STRETCH SUIT JACKET,129,JACKETS,MAN
192936,END-CAP,No,Yes,2942,DOUBLE FACED JACKET,139,JACKETS,MAN
117590,END-CAP,No,No,2968,CONTRASTING COLLAR JACKET,79.9,JACKETS,MAN
189118,FRONT OF STORE,Yes,Yes,952,FAUX LEATHER PUFFER JACKET,69.99,JACKETS,MAN
182157,AISLE,No,No,2421,SUIT JACKET IN 100% LINEN,159,JACKETS,MAN
141861,AISLE,Yes,Yes,1916,100% WOOL SUIT JACKET,169,JACKETS,MAN
137121,AISLE,No,Yes,656,100% FEATHER FILL PUFFER JACKET,169,JACKETS,MAN
113143,AISLE,Yes,Yes,2663,HERRINGBONE TEXTURED JACKET,129,JACKETS,MAN
140028,AISLE,Yes,Yes,1260,OVERSIZED CROPPED JACKET LIMITED EDITION,159,JACKETS,MAN
134693,AISLE,Yes,No,2124,LEATHER BIKER JACKET,169,JACKETS,MAN
151396,FRONT OF STORE,Yes,Yes,729,CROPPED LEATHER JACKET,439,JACKETS,MAN
132889,AISLE,Yes,Yes,2265,FAUX LEATHER BOXY FIT JACKET,99.9,JACKETS,MAN
152174,END-CAP,No,No,2226,FAUX LEATHER JACKET,99.9,JACKETS,MAN
129906,AISLE,No,No,2089,FAUX SUEDE BOMBER JACKET,69.9,JACKETS,MAN
195879,FRONT OF STORE,Yes,Yes,2339,DENIM BOMBER JACKET,129,JACKETS,MAN
155050,AISLE,No,Yes,2321,BOUCLÉ TEXTURED JACKET,129,JACKETS,MAN
194410,END-CAP,No,No,669,SUIT JACKET IN 100% LINEN,159,JACKETS,MAN
141904,END-CAP,Yes,Yes,1712,JACQUARD DENIM JACKET,109,JACKETS,MAN
124981,FRONT OF STORE,No,Yes,1832,PADDED DENIM JACKET,89.9,JACKETS,MAN
161909,AISLE,Yes,No,1290,LEATHER JACKET,299,JACKETS,MAN
129152,END-CAP,No,No,2356,LIGHTWEIGHT BOMBER JACKET,49.9,JACKETS,MAN
183243,FRONT OF STORE,Yes,No,1524,SUIT JACKET,169,JACKETS,MAN
198248,FRONT OF STORE,Yes,No,1644,FAUX LEATHER BOMBER JACKET,69.9,JACKETS,MAN
191230,END-CAP,No,No,966,PATCH BOMBER JACKET,89.9,JACKETS,MAN
187234,FRONT OF STORE,Yes,Yes,2575,STRETCH POCKET OVERSHIRT,59.9,JACKETS,MAN
148888,FRONT OF STORE,No,No,2774,RIB COLLAR JACKET,109,JACKETS,MAN
110805,FRONT OF STORE,Yes,No,2477,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,159,JACKETS,MAN
179801,FRONT OF STORE,No,Yes,2608,CONTRASTING PATCHES BOMBER JACKET,129,JACKETS,MAN
134927,AISLE,Yes,Yes,2252,PATCH BOMBER JACKET,129,JACKETS,MAN
123150,END-CAP,Yes,No,2074,CROPPED BOMBER JACKET LIMITED EDITION,129,JACKETS,MAN
159145,END-CAP,Yes,No,2579,FAUX LEATHER PUFFER JACKET,109,JACKETS,MAN
172364,AISLE,Yes,No,2931,FAUX LEATHER BOMBER JACKET,109,JACKETS,MAN
178281,END-CAP,No,Yes,1145,BOMBER JACKET,109,JACKETS,MAN
194339,END-CAP,No,No,1792,FAUX SUEDE JACKET,89.9,JACKETS,MAN
174412,AISLE,No,Yes,1796,FAUX SUEDE BOMBER JACKET,69.9,JACKETS,MAN
114877,AISLE,No,No,1860,SUEDE JACKET,349,JACKETS,MAN
140727,END-CAP,Yes,Yes,1002,CONTRASTING COLLAR JACKET,79.9,JACKETS,MAN
133109,FRONT OF STORE,No,Yes,2063,TEXTURED JACKET,79.9,JACKETS,MAN
127296,AISLE,No,No,1165,CROPPED TEXTURED JACKET,89.9,JACKETS,MAN
133757,AISLE,Yes,No,2071,POCKET PUFFER JACKET,129,JACKETS,MAN
111760,END-CAP,No,No,1474,TECHNICAL JACKET WITH POCKETS,109,JACKETS,MAN
198375,END-CAP,No,No,2202,FAUX LEATHER JACKET,69.9,JACKETS,MAN
168837,AISLE,No,No,665,FAUX SUEDE JACKET,89.9,JACKETS,MAN
138505,FRONT OF STORE,No,No,2478,RIPPED DENIM JACKET,69.9,JACKETS,MAN
116228,END-CAP,Yes,No,647,TEXTURED POCKET JACKET,89.9,JACKETS,MAN
167592,FRONT OF STORE,Yes,No,707,FAUX SUEDE PATCH JACKET,89.9,JACKETS,MAN
133100,END-CAP,Yes,No,2729,PUFFER JACKET WITH POUCH POCKET,89.9,JACKETS,MAN
119955,FRONT OF STORE,No,No,1590,BOMBER JACKET,89.9,JACKETS,MAN
189349,END-CAP,Yes,No,1245,TEXTURED WEAVE OVERSHIRT,89.9,JACKETS,MAN
127478,FRONT OF STORE,No,Yes,2498,STRAIGHT SUIT JACKET,129,JACKETS,MAN
180661,FRONT OF STORE,No,Yes,1041,HOODED QUILTED JACKET,129,JACKETS,MAN
186681,END-CAP,No,Yes,1717,LIGHTWEIGHT PUFFER JACKET,19.99,JACKETS,MAN
133183,FRONT OF STORE,Yes,Yes,2859,COTTON BLEND BOMBER JACKET,89.9,JACKETS,MAN
173508,AISLE,Yes,No,1658,POCKET JACKET,129,JACKETS,MAN
187930,END-CAP,No,Yes,706,OVERSIZED BOMBER JACKET,89.9,JACKETS,MAN
124088,END-CAP,Yes,Yes,2065,EMBROIDERED PATCH JACKET,79.9,JACKETS,MAN
190238,FRONT OF STORE,No,Yes,1917,ACID WASH DENIM JACKET,89.9,JACKETS,MAN
151925,END-CAP,Yes,Yes,2179,VINTAGE EFFECT LEATHER BOMBER JACKET,299,JACKETS,MAN
163234,FRONT OF STORE,No,No,1633,TEXTURED DENIM JACKET LIMITED EDITION,89.9,JACKETS,MAN
135610,AISLE,Yes,Yes,1513,WOOL BLEND JACKET,109,JACKETS,MAN
117065,AISLE,Yes,Yes,758,COTTON - LINEN BLEND JACKET,109,JACKETS,MAN
149315,END-CAP,Yes,No,718,FLEECE BOMBER JACKET,109,JACKETS,MAN
149510,AISLE,No,Yes,1412,ZIPPERED JACKET,59.9,JACKETS,MAN
137990,AISLE,No,No,2929,COTTON JACKET,29.99,JACKETS,MAN
154016,END-CAP,Yes,Yes,2366,WOOL BLEND TEXTURED JACKET,189,JACKETS,MAN
117751,AISLE,No,No,2749,CONTRAST JACQUARD JACKET,89.9,JACKETS,MAN
182362,FRONT OF STORE,No,No,2019,CROPPED OVERSHIRT,69.9,JACKETS,MAN
117725,AISLE,No,Yes,1506,CONTRASTING PATCHES HOODED JACKET,109,JACKETS,MAN
145289,END-CAP,No,No,1012,UTILITY POCKET JACKET,109,JACKETS,MAN
173576,END-CAP,Yes,No,1838,UNKNOWN,129,JACKETS,MAN
175059,AISLE,Yes,No,2170,LIGHTWEIGHT BOMBER JACKET,49.9,JACKETS,MAN
199368,FRONT OF STORE,No,Yes,1061,WOOL BLEND JACKET,139,JACKETS,MAN
162883,FRONT OF STORE,Yes,No,786,TECHNICAL PADDED JACKET,139,JACKETS,MAN
135490,FRONT OF STORE,No,No,1094,MIXED COLLAR WAXED JACKET,139,JACKETS,MAN
125408,END-CAP,Yes,Yes,2220,CONTRASTING PATCHES BOMBER JACKET,89.9,JACKETS,MAN
134763,FRONT OF STORE,No,Yes,2048,PADDED BOMBER JACKET,89.9,JACKETS,MAN
143231,AISLE,No,No,2578,TECHNICAL PADDED JACKET,89.9,JACKETS,MAN
125409,END-CAP,Yes,No,2040,POCKET DENIM JACKET,89.9,JACKETS,MAN
183074,AISLE,No,No,2791,BOXY FIT DENIM JACKET,89.9,JACKETS,MAN
147947,AISLE,Yes,Yes,1249,FAUX SHEARLING PLAID JACKET,89.9,JACKETS,MAN
174171,FRONT OF STORE,Yes,Yes,2273,EMBROIDERED FOREST JACKET,89.9,JACKETS,MAN
183064,FRONT OF STORE,Yes,No,1773,POCKET OVERSHIRT,89.9,JACKETS,MAN
177131,AISLE,Yes,Yes,1733,BOUCLE TEXTURED VEST,69.9,JACKETS,MAN
128179,END-CAP,Yes,No,2060,COLOR BLOCK PUFFER JACKET,89.9,JACKETS,MAN
152723,AISLE,No,Yes,2849,LONGLINE QUILTED JACKET,169,JACKETS,MAN
123824,AISLE,Yes,No,2277,WOOL BLEND SUIT JACKET,169,JACKETS,MAN
166345,AISLE,No,Yes,1135,HOODED KNIT CARDIGAN,69.9,JACKETS,MAN
199279,AISLE,No,No,1770,HOODED TECHNICAL JACKET,19.99,JACKETS,MAN
